flavor	hit_def	drug	species	concentration	AUC	hit	min_abundance_ratio	max_abundance_ratio	abundance	control_abundance	abundance_ratio	species_abbr
absolute	AUC	Acarbose	Bacteroides fragilis	5	0.6942581728297353	TRUE	0.8750012402580648	1.2065291629469386	0.011572437151726093	0.012101351642214122	0.9562929409766944	Bf
absolute	AUC	Acarbose	Bacteroides fragilis	20	0.5834540578861389	TRUE	0.9168548997294605	1.4593250058376388	0.014808269128996797	0.012101351642214122	1.2236872017948734	Bf
absolute	AUC	Acarbose	Bacteroides fragilis	80	0.4714908914397557	TRUE	1.0875667382939707	1.6810437740403612	0.01534870180066218	0.012101351642214122	1.2683460702951614	Bf
absolute	AUC	Acarbose	Bacteroides thetaiotaomicron	5	0.8216139208303654	FALSE	2.140584964196152	2.824052665774253	0.10524606415591678	0.043042830909248514	2.445147355149979	Bt
absolute	AUC	Acarbose	Bacteroides thetaiotaomicron	20	0.7378139546162947	TRUE	3.5048287231131763	5.91157173427314	0.19661310610921415	0.043042830909248514	4.567847930907545	Bt
absolute	AUC	Acarbose	Bacteroides thetaiotaomicron	80	0.7337159921063161	TRUE	7.529977214679448	8.634913692056017	0.34828489045701905	0.043042830909248514	8.091588845337398	Bt
absolute	AUC	Acarbose	Bacteroides uniformis	5	0.900706099604901	FALSE	1.8358381498636582	3.0612632838732847	0.023591862129482586	0.008510960104735486	2.7719389868078586	Bu
absolute	AUC	Acarbose	Bacteroides uniformis	20	0.8127446104996288	FALSE	1.8885422202632778	5.117660354742526	0.02958608292720253	0.008510960104735486	3.476233299547589	Bu
absolute	AUC	Acarbose	Bacteroides uniformis	80	0.7288490336598179	TRUE	0.9452024077746229	2.0851338948660323	0.012296965555554906	0.008510960104735486	1.4448388200895093	Bu
absolute	AUC	Acarbose	Clostridium perfringens	5	0.8339900561230772	FALSE	0.2030723474637687	0.5104383982266253	0.09435686186555603	0.3135544110192655	0.3009265969463862	Cp
absolute	AUC	Acarbose	Clostridium perfringens	20	0.5539878502841464	TRUE	0.04459164684741071	0.23545684420365123	0.03203404267608419	0.3135544110192655	0.1021642227004612	Cp
absolute	AUC	Acarbose	Clostridium perfringens	80	0.5984059797648819	TRUE	0.036329600230129745	0.2447089869680618	0.03128294627674581	0.3135544110192655	0.09976879666611903	Cp
absolute	AUC	Acarbose	Collinsella aerofaciens	5	0.9835587071377988	FALSE	4.18031809236548	13.024751465110603	0.019131449587807076	0.0021491605920691973	8.901824116078476	Ca
absolute	AUC	Acarbose	Collinsella aerofaciens	20	0.9899497487437184	FALSE	3.7924244380265457	18.837931522097698	0.0254153775125895	0.0021491605920691973	11.82572284564354	Ca
absolute	AUC	Acarbose	Collinsella aerofaciens	80	1.093096234309623	FALSE	18.77662537472355	56.58541820221841	0.060196885914966684	0.0021491605920691973	28.009487116553505	Ca
absolute	AUC	Acarbose	Coprococcus comes	5	1.0033080956142562	FALSE	2.2628825884015713	5.3853683521064655	0.039228611866235504	0.009965726891981991	3.9363522893445144	Cc
